number,name,primary_type,secondary_type,total,hp,attack,defense,sp_atk,sp_def,speed,image_url
0065,Alakazam,Psychic,none,500,55,50,45,135,95,120,https://img.pokemondb.net/artwork/alakazam.jpg
0065,Alakazam,Psychic,none,600,55,50,65,175,105,150,https://img.pokemondb.net/artwork/alakazam.jpg
0066,Machop,Fighting,none,305,70,80,50,35,35,35,https://img.pokemondb.net/artwork/machop.jpg
0067,Machoke,Fighting,none,405,80,100,70,50,60,45,https://img.pokemondb.net/artwork/machoke.jpg
0068,Machamp,Fighting,none,505,90,130,80,65,85,55,https://img.pokemondb.net/artwork/machamp.jpg
0069,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,https://img.pokemondb.net/artwork/bellsprout.jpg
0070,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,https://img.pokemondb.net/artwork/weepinbell.jpg
0071,Victreebel,Grass,Poison,490,80,105,65,100,70,70,https://img.pokemondb.net/artwork/victreebel.jpg
0072,Tentacool,Water,Poison,335,40,40,35,50,100,70,https://img.pokemondb.net/artwork/tentacool.jpg
0073,Tentacruel,Water,Poison,515,80,70,65,80,120,100,https://img.pokemondb.net/artwork/tentacruel.jpg
0074,Geodude,Rock,Ground,300,40,80,100,30,30,20,https://img.pokemondb.net/artwork/geodude.jpg
0074,Geodude,Rock,Electric,300,40,80,100,30,30,20,https://img.pokemondb.net/artwork/geodude.jpg
0075,Graveler,Rock,Ground,390,55,95,115,45,45,35,https://img.pokemondb.net/artwork/graveler.jpg
0075,Graveler,Rock,Electric,390,55,95,115,45,45,35,https://img.pokemondb.net/artwork/graveler.jpg
0076,Golem,Rock,Ground,495,80,120,130,55,65,45,https://img.pokemondb.net/artwork/golem.jpg
0076,Golem,Rock,Electric,495,80,120,130,55,65,45,https://img.pokemondb.net/artwork/golem.jpg
0077,Ponyta,Fire,none,410,50,85,55,65,65,90,https://img.pokemondb.net/artwork/ponyta.jpg
0077,Ponyta,Psychic,none,410,50,85,55,65,65,90,https://img.pokemondb.net/artwork/ponyta.jpg
0078,Rapidash,Fire,none,500,65,100,70,80,80,105,https://img.pokemondb.net/artwork/rapidash.jpg
0078,Rapidash,Psychic,Fairy,500,65,100,70,80,80,105,https://img.pokemondb.net/artwork/rapidash.jpg
0079,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,https://img.pokemondb.net/artwork/slowpoke.jpg
0079,Slowpoke,Psychic,none,315,90,65,65,40,40,15,https://img.pokemondb.net/artwork/slowpoke.jpg
0080,Slowbro,Water,Psychic,490,95,75,110,100,80,30,https://img.pokemondb.net/artwork/slowbro.jpg
0080,Slowbro,Water,Psychic,590,95,75,180,130,80,30,https://img.pokemondb.net/artwork/slowbro.jpg
0080,Slowbro,Poison,Psychic,490,95,100,95,100,70,30,https://img.pokemondb.net/artwork/slowbro.jpg
0081,Magnemite,Electric,Steel,325,25,35,70,95,55,45,https://img.pokemondb.net/artwork/magnemite.jpg
0082,Magneton,Electric,Steel,465,50,60,95,120,70,70,https://img.pokemondb.net/artwork/magneton.jpg
0083,Farfetch'd,Normal,Flying,377,52,90,55,58,62,60,
0083,Farfetch'd,Fighting,none,377,52,95,55,58,62,55,
0084,Doduo,Normal,Flying,310,35,85,45,35,35,75,https://img.pokemondb.net/artwork/doduo.jpg
0085,Dodrio,Normal,Flying,470,60,110,70,60,60,110,https://img.pokemondb.net/artwork/dodrio.jpg
0086,Seel,Water,none,325,65,45,55,45,70,45,https://img.pokemondb.net/artwork/seel.jpg
0087,Dewgong,Water,Ice,475,90,70,80,70,95,70,https://img.pokemondb.net/artwork/dewgong.jpg
0088,Grimer,Poison,none,325,80,80,50,40,50,25,https://img.pokemondb.net/artwork/grimer.jpg
0088,Grimer,Poison,Dark,325,80,80,50,40,50,25,https://img.pokemondb.net/artwork/grimer.jpg
0089,Muk,Poison,none,500,105,105,75,65,100,50,https://img.pokemondb.net/artwork/muk.jpg
0089,Muk,Poison,Dark,500,105,105,75,65,100,50,https://img.pokemondb.net/artwork/muk.jpg
0090,Shellder,Water,none,305,30,65,100,45,25,40,https://img.pokemondb.net/artwork/shellder.jpg
0091,Cloyster,Water,Ice,525,50,95,180,85,45,70,https://img.pokemondb.net/artwork/cloyster.jpg
0092,Gastly,Ghost,Poison,310,30,35,30,100,35,80,https://img.pokemondb.net/artwork/gastly.jpg
0093,Haunter,Ghost,Poison,405,45,50,45,115,55,95,https://img.pokemondb.net/artwork/haunter.jpg
0094,Gengar,Ghost,Poison,500,60,65,60,130,75,110,https://img.pokemondb.net/artwork/gengar.jpg
0094,Gengar,Ghost,Poison,600,60,65,80,170,95,130,https://img.pokemondb.net/artwork/gengar.jpg
0095,Onix,Rock,Ground,385,35,45,160,30,45,70,https://img.pokemondb.net/artwork/onix.jpg
0096,Drowzee,Psychic,none,328,60,48,45,43,90,42,https://img.pokemondb.net/artwork/drowzee.jpg
0097,Hypno,Psychic,none,483,85,73,70,73,115,67,https://img.pokemondb.net/artwork/hypno.jpg
0098,Krabby,Water,none,325,30,105,90,25,25,50,https://img.pokemondb.net/artwork/krabby.jpg
0099,Kingler,Water,none,475,55,130,115,50,50,75,https://img.pokemondb.net/artwork/kingler.jpg
0100,Voltorb,Electric,none,330,40,30,50,55,55,100,https://img.pokemondb.net/artwork/voltorb.jpg
0100,Voltorb,Electric,Grass,330,40,30,50,55,55,100,https://img.pokemondb.net/artwork/voltorb.jpg
0101,Electrode,Electric,none,490,60,50,70,80,80,150,https://img.pokemondb.net/artwork/electrode.jpg
0101,Electrode,Electric,Grass,490,60,50,70,80,80,150,https://img.pokemondb.net/artwork/electrode.jpg
0102,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,https://img.pokemondb.net/artwork/exeggcute.jpg
0103,Exeggutor,Grass,Psychic,530,95,95,85,125,75,55,https://img.pokemondb.net/artwork/exeggutor.jpg
0103,Exeggutor,Grass,Dragon,530,95,105,85,125,75,45,https://img.pokemondb.net/artwork/exeggutor.jpg
0104,Cubone,Ground,none,320,50,50,95,40,50,35,https://img.pokemondb.net/artwork/cubone.jpg
0105,Marowak,Ground,none,425,60,80,110,50,80,45,https://img.pokemondb.net/artwork/marowak.jpg
0105,Marowak,Fire,Ghost,425,60,80,110,50,80,45,https://img.pokemondb.net/artwork/marowak.jpg
0106,Hitmonlee,Fighting,none,455,50,120,53,35,110,87,https://img.pokemondb.net/artwork/hitmonlee.jpg
0107,Hitmonchan,Fighting,none,455,50,105,79,35,110,76,https://img.pokemondb.net/artwork/hitmonchan.jpg
0108,Lickitung,Normal,none,385,90,55,75,60,75,30,https://img.pokemondb.net/artwork/lickitung.jpg
0109,Koffing,Poison,none,340,40,65,95,60,45,35,https://img.pokemondb.net/artwork/koffing.jpg
0110,Weezing,Poison,none,490,65,90,120,85,70,60,https://img.pokemondb.net/artwork/weezing.jpg
0110,Weezing,Poison,Fairy,490,65,90,120,85,70,60,https://img.pokemondb.net/artwork/weezing.jpg
0111,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,https://img.pokemondb.net/artwork/rhyhorn.jpg
0112,Rhydon,Ground,Rock,485,105,130,120,45,45,40,https://img.pokemondb.net/artwork/rhydon.jpg
0113,Chansey,Normal,none,450,250,5,5,35,105,50,https://img.pokemondb.net/artwork/chansey.jpg
0114,Tangela,Grass,none,435,65,55,115,100,40,60,https://img.pokemondb.net/artwork/tangela.jpg
0115,Kangaskhan,Normal,none,490,105,95,80,40,80,90,https://img.pokemondb.net/artwork/kangaskhan.jpg
0115,Kangaskhan,Normal,none,590,105,125,100,60,100,100,https://img.pokemondb.net/artwork/kangaskhan.jpg
0116,Horsea,Water,none,295,30,40,70,70,25,60,https://img.pokemondb.net/artwork/horsea.jpg
0117,Seadra,Water,none,440,55,65,95,95,45,85,https://img.pokemondb.net/artwork/seadra.jpg
0118,Goldeen,Water,none,320,45,67,60,35,50,63,https://img.pokemondb.net/artwork/goldeen.jpg
0119,Seaking,Water,none,450,80,92,65,65,80,68,https://img.pokemondb.net/artwork/seaking.jpg
0120,Staryu,Water,none,340,30,45,55,70,55,85,https://img.pokemondb.net/artwork/staryu.jpg
0121,Starmie,Water,Psychic,520,60,75,85,100,85,115,https://img.pokemondb.net/artwork/starmie.jpg
0122,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,
0122,Mr. Mime,Ice,Psychic,460,50,65,65,90,90,100,
0123,Scyther,Bug,Flying,500,70,110,80,55,80,105,https://img.pokemondb.net/artwork/scyther.jpg
0124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,https://img.pokemondb.net/artwork/jynx.jpg
0125,Electabuzz,Electric,none,490,65,83,57,95,85,105,https://img.pokemondb.net/artwork/electabuzz.jpg
0126,Magmar,Fire,none,495,65,95,57,100,85,93,https://img.pokemondb.net/artwork/magmar.jpg
0127,Pinsir,Bug,none,500,65,125,100,55,70,85,https://img.pokemondb.net/artwork/pinsir.jpg
0127,Pinsir,Bug,Flying,600,65,155,120,65,90,105,https://img.pokemondb.net/artwork/pinsir.jpg
0128,Tauros,Normal,none,490,75,100,95,40,70,110,https://img.pokemondb.net/artwork/tauros.jpg
0128,Tauros,Fighting,none,490,75,110,105,30,70,100,https://img.pokemondb.net/artwork/tauros.jpg
0128,Tauros,Fighting,Fire,490,75,110,105,30,70,100,https://img.pokemondb.net/artwork/tauros.jpg
0128,Tauros,Fighting,Water,490,75,110,105,30,70,100,https://img.pokemondb.net/artwork/tauros.jpg
0129,Magikarp,Water,none,200,20,10,55,15,20,80,https://img.pokemondb.net/artwork/magikarp.jpg
0130,Gyarados,Water,Flying,540,95,125,79,60,100,81,https://img.pokemondb.net/artwork/gyarados.jpg
0130,Gyarados,Water,Dark,640,95,155,109,70,130,81,https://img.pokemondb.net/artwork/gyarados.jpg
0131,Lapras,Water,Ice,535,130,85,80,85,95,60,https://img.pokemondb.net/artwork/lapras.jpg
0132,Ditto,Normal,none,288,48,48,48,48,48,48,https://img.pokemondb.net/artwork/ditto.jpg
0133,Eevee,Normal,none,325,55,55,50,45,65,55,https://img.pokemondb.net/artwork/eevee.jpg
0133,Eevee,Normal,none,435,65,75,70,65,85,75,https://img.pokemondb.net/artwork/eevee.jpg
0134,Vaporeon,Water,none,525,130,65,60,110,95,65,https://img.pokemondb.net/artwork/vaporeon.jpg
0135,Jolteon,Electric,none,525,65,65,60,110,95,130,https://img.pokemondb.net/artwork/jolteon.jpg
0136,Flareon,Fire,none,525,65,130,60,95,110,65,https://img.pokemondb.net/artwork/flareon.jpg
0137,Porygon,Normal,none,395,65,60,70,85,75,40,https://img.pokemondb.net/artwork/porygon.jpg
0138,Omanyte,Rock,Water,355,35,40,100,90,55,35,https://img.pokemondb.net/artwork/omanyte.jpg
0139,Omastar,Rock,Water,495,70,60,125,115,70,55,https://img.pokemondb.net/artwork/omastar.jpg
0140,Kabuto,Rock,Water,355,30,80,90,55,45,55,https://img.pokemondb.net/artwork/kabuto.jpg
0141,Kabutops,Rock,Water,495,60,115,105,65,70,80,https://img.pokemondb.net/artwork/kabutops.jpg
0142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,https://img.pokemondb.net/artwork/aerodactyl.jpg
0142,Aerodactyl,Rock,Flying,615,80,135,85,70,95,150,https://img.pokemondb.net/artwork/aerodactyl.jpg
0143,Snorlax,Normal,none,540,160,110,65,65,110,30,https://img.pokemondb.net/artwork/snorlax.jpg
0144,Articuno,Ice,Flying,580,90,85,100,95,125,85,https://img.pokemondb.net/artwork/articuno.jpg
0144,Articuno,Psychic,Flying,580,90,85,85,125,100,95,https://img.pokemondb.net/artwork/articuno.jpg
0145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,https://img.pokemondb.net/artwork/zapdos.jpg
0145,Zapdos,Fighting,Flying,580,90,125,90,85,90,100,https://img.pokemondb.net/artwork/zapdos.jpg
0146,Moltres,Fire,Flying,580,90,100,90,125,85,90,https://img.pokemondb.net/artwork/moltres.jpg
0146,Moltres,Dark,Flying,580,90,85,90,100,125,90,https://img.pokemondb.net/artwork/moltres.jpg
0147,Dratini,Dragon,none,300,41,64,45,50,50,50,https://img.pokemondb.net/artwork/dratini.jpg
0148,Dragonair,Dragon,none,420,61,84,65,70,70,70,https://img.pokemondb.net/artwork/dragonair.jpg
0149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,https://img.pokemondb.net/artwork/dragonite.jpg
0150,Mewtwo,Psychic,none,680,106,110,90,154,90,130,https://img.pokemondb.net/artwork/mewtwo.jpg
0150,Mewtwo,Psychic,Fighting,780,106,190,100,154,100,130,https://img.pokemondb.net/artwork/mewtwo.jpg
0150,Mewtwo,Psychic,none,780,106,150,70,194,120,140,https://img.pokemondb.net/artwork/mewtwo.jpg
0151,Mew,Psychic,none,600,100,100,100,100,100,100,https://img.pokemondb.net/artwork/mew.jpg
0152,Chikorita,Grass,none,318,45,49,65,49,65,45,https://img.pokemondb.net/artwork/chikorita.jpg
0153,Bayleef,Grass,none,405,60,62,80,63,80,60,https://img.pokemondb.net/artwork/bayleef.jpg
0154,Meganium,Grass,none,525,80,82,100,83,100,80,https://img.pokemondb.net/artwork/meganium.jpg
0155,Cyndaquil,Fire,none,309,39,52,43,60,50,65,https://img.pokemondb.net/artwork/cyndaquil.jpg
0156,Quilava,Fire,none,405,58,64,58,80,65,80,https://img.pokemondb.net/artwork/quilava.jpg
0157,Typhlosion,Fire,none,534,78,84,78,109,85,100,https://img.pokemondb.net/artwork/typhlosion.jpg
0157,Typhlosion,Fire,Ghost,534,73,84,78,119,85,95,https://img.pokemondb.net/artwork/typhlosion.jpg
0158,Totodile,Water,none,314,50,65,64,44,48,43,https://img.pokemondb.net/artwork/totodile.jpg
0159,Croconaw,Water,none,405,65,80,80,59,63,58,https://img.pokemondb.net/artwork/croconaw.jpg
0160,Feraligatr,Water,none,530,85,105,100,79,83,78,https://img.pokemondb.net/artwork/feraligatr.jpg
0161,Sentret,Normal,none,215,35,46,34,35,45,20,https://img.pokemondb.net/artwork/sentret.jpg
0162,Furret,Normal,none,415,85,76,64,45,55,90,https://img.pokemondb.net/artwork/furret.jpg
0163,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,https://img.pokemondb.net/artwork/hoothoot.jpg
0164,Noctowl,Normal,Flying,452,100,50,50,86,96,70,https://img.pokemondb.net/artwork/noctowl.jpg
0165,Ledyba,Bug,Flying,265,40,20,30,40,80,55,https://img.pokemondb.net/artwork/ledyba.jpg
0166,Ledian,Bug,Flying,390,55,35,50,55,110,85,https://img.pokemondb.net/artwork/ledian.jpg
0167,Spinarak,Bug,Poison,250,40,60,40,40,40,30,https://img.pokemondb.net/artwork/spinarak.jpg
0168,Ariados,Bug,Poison,400,70,90,70,60,70,40,https://img.pokemondb.net/artwork/ariados.jpg
0169,Crobat,Poison,Flying,535,85,90,80,70,80,130,https://img.pokemondb.net/artwork/crobat.jpg
0170,Chinchou,Water,Electric,330,75,38,38,56,56,67,https://img.pokemondb.net/artwork/chinchou.jpg
0171,Lanturn,Water,Electric,460,125,58,58,76,76,67,https://img.pokemondb.net/artwork/lanturn.jpg
0172,Pichu,Electric,none,205,20,40,15,35,35,60,https://img.pokemondb.net/artwork/pichu.jpg
0173,Cleffa,Fairy,none,218,50,25,28,45,55,15,https://img.pokemondb.net/artwork/cleffa.jpg
0174,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,https://img.pokemondb.net/artwork/igglybuff.jpg
0175,Togepi,Fairy,none,245,35,20,65,40,65,20,https://img.pokemondb.net/artwork/togepi.jpg
0176,Togetic,Fairy,Flying,405,55,40,85,80,105,40,https://img.pokemondb.net/artwork/togetic.jpg
0177,Natu,Psychic,Flying,320,40,50,45,70,45,70,https://img.pokemondb.net/artwork/natu.jpg
0178,Xatu,Psychic,Flying,470,65,75,70,95,70,95,https://img.pokemondb.net/artwork/xatu.jpg
0179,Mareep,Electric,none,280,55,40,40,65,45,35,https://img.pokemondb.net/artwork/mareep.jpg
0180,Flaaffy,Electric,none,365,70,55,55,80,60,45,https://img.pokemondb.net/artwork/flaaffy.jpg
0181,Ampharos,Electric,none,510,90,75,85,115,90,55,https://img.pokemondb.net/artwork/ampharos.jpg
0181,Ampharos,Electric,Dragon,610,90,95,105,165,110,45,https://img.pokemondb.net/artwork/ampharos.jpg
0182,Bellossom,Grass,none,490,75,80,95,90,100,50,https://img.pokemondb.net/artwork/bellossom.jpg
0183,Marill,Water,Fairy,250,70,20,50,20,50,40,https://img.pokemondb.net/artwork/marill.jpg
0184,Azumarill,Water,Fairy,420,100,50,80,60,80,50,https://img.pokemondb.net/artwork/azumarill.jpg
0185,Sudowoodo,Rock,none,410,70,100,115,30,65,30,https://img.pokemondb.net/artwork/sudowoodo.jpg
0186,Politoed,Water,none,500,90,75,75,90,100,70,https://img.pokemondb.net/artwork/politoed.jpg
0187,Hoppip,Grass,Flying,250,35,35,40,35,55,50,https://img.pokemondb.net/artwork/hoppip.jpg
0188,Skiploom,Grass,Flying,340,55,45,50,45,65,80,https://img.pokemondb.net/artwork/skiploom.jpg
0189,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,https://img.pokemondb.net/artwork/jumpluff.jpg
0190,Aipom,Normal,none,360,55,70,55,40,55,85,https://img.pokemondb.net/artwork/aipom.jpg
0191,Sunkern,Grass,none,180,30,30,30,30,30,30,https://img.pokemondb.net/artwork/sunkern.jpg
0192,Sunflora,Grass,none,425,75,75,55,105,85,30,https://img.pokemondb.net/artwork/sunflora.jpg
0193,Yanma,Bug,Flying,390,65,65,45,75,45,95,https://img.pokemondb.net/artwork/yanma.jpg
0194,Wooper,Water,Ground,210,55,45,45,25,25,15,https://img.pokemondb.net/artwork/wooper.jpg
0194,Wooper,Poison,Ground,210,55,45,45,25,25,15,https://img.pokemondb.net/artwork/wooper.jpg
0195,Quagsire,Water,Ground,430,95,85,85,65,65,35,https://img.pokemondb.net/artwork/quagsire.jpg
0196,Espeon,Psychic,none,525,65,65,60,130,95,110,https://img.pokemondb.net/artwork/espeon.jpg
0197,Umbreon,Dark,none,525,95,65,110,60,130,65,https://img.pokemondb.net/artwork/umbreon.jpg
0198,Murkrow,Dark,Flying,405,60,85,42,85,42,91,https://img.pokemondb.net/artwork/murkrow.jpg
0199,Slowking,Water,Psychic,490,95,75,80,100,110,30,https://img.pokemondb.net/artwork/slowking.jpg
0199,Slowking,Poison,Psychic,490,95,65,80,110,110,30,https://img.pokemondb.net/artwork/slowking.jpg
0200,Misdreavus,Ghost,none,435,60,60,60,85,85,85,https://img.pokemondb.net/artwork/misdreavus.jpg
